2021-04-13 00:00:00,2021-04-14 00:00:00,2021-04-15 00:00:00,2021-04-16 00:00:00,2021-04-17 00:00:00,2021-04-18 00:00:00,2021-04-19 00:00:00,2021-04-20 00:00:00,2021-04-21 00:00:00,2021-04-22 00:00:00,2021-04-23 00:00:00,2021-04-24 00:00:00,2021-04-25 00:00:00,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-04-28 00:00:00,2021-04-29 00:00:00,2021-04-30 00:00:00,2021-05-01 00:00:00,2021-05-02 00:00:00,2021-05-03 00:00:00,2021-05-04 00:00:00,2021-05-05 00:00:00,2021-05-06 00:00:00,2021-05-07 00:00:00,2021-05-08 00:00:00,2021-05-09 00:00:00,2021-05-10 00:00:00,2021-05-11 00:00:00,2021-05-12 00:00:00,2021-05-13 00:00:00,2021-05-14 00:00:00,2021-05-15 00:00:00,2021-05-16 00:00:00,2021-05-17 00:00:00,2021-05-18 00:00:00,2021-05-19 00:00:00,2021-05-20 00:00:00,2021-05-21 00:00:00,2021-05-22 00:00:00,2021-05-23 00:00:00,2021-05-24 00:00:00,2021-05-25 00:00:00,2021-05-26 00:00:00,2021-05-27 00:00:00,2021-05-28 00:00:00,2021-05-29 00:00:00,2021-05-30 00:00:00,2021-05-31 00:00:00,2021-06-01 00:00:00,2021-06-02 00:00:00
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.72,2.69,2.64,2.46,2.48,2.48,2.47,2.48,2.42,2.36,2.45,2.51,2.52,2.53,2.59,2.6,2.57,2.57,2.58,2.55,2.12,2.15,1.7,1.72,1.73,1.7,1.65,1.66,1.68,1.69,1.69,1.68,1.69,1.68,1.69,1.71,1.65,1.66,1.65,1.66,1.68,1.73,1.76,1.77,1.79,1.81,1.75,1.76,1.75,1.76,1.81
2,2.95,2.89,2.83,2.51,2.57,2.57,2.55,2.56,2.48,2.4,2.55,2.57,2.6,2.63,2.71,2.74,2.65,2.66,2.68,2.63,2.56,2.62,2.53,2.58,2.59,2.54,2.48,2.51,2.54,2.56,2.57,2.55,2.56,2.54,2.56,2.62,2.54,2.56,2.53,2.54,2.57,2.65,2.71,2.73,2.76,2.82,2.7,2.72,2.69,2.7,2.78
3,4.29,4.2,4.11,3.75,3.84,3.84,3.87,3.89,3.84,3.79,3.92,4.0,4.05,4.1,4.22,4.27,4.12,4.14,4.17,4.1,4.27,4.41,4.56,4.63,4.65,4.58,4.49,4.54,4.61,4.66,4.67,4.64,4.66,4.67,4.7,4.79,4.74,4.77,4.75,4.78,4.83,4.94,5.05,5.1,5.17,5.26,5.18,5.21,5.19,5.22,5.33
4,6.25,6.13,6.01,5.62,5.74,5.74,5.81,5.77,5.71,5.65,5.81,5.75,5.82,5.89,6.02,6.09,5.93,5.94,5.99,5.88,6.01,6.17,6.29,6.25,6.3,6.19,6.07,6.14,6.28,6.35,6.37,6.32,6.37,6.4,6.45,6.57,6.51,6.56,6.52,6.57,6.63,6.76,6.88,6.95,7.09,7.21,7.15,7.2,7.16,7.21,7.34
5,7.48,7.35,7.2,6.81,6.95,6.95,7.0,6.98,6.95,6.92,7.11,7.03,7.12,7.16,7.31,7.4,7.25,7.3,7.37,7.29,7.47,7.77,7.93,7.85,7.92,7.88,7.73,7.82,7.97,8.11,8.07,8.08,8.14,8.2,8.27,8.41,8.38,8.45,8.47,8.43,8.52,8.67,8.76,8.85,9.0,9.14,9.19,9.26000000000001,9.28,9.24000000000001,9.39000000000001
6,8.96,8.81,8.65,8.24,8.39,8.39,8.28,8.27,8.18,8.09,8.3,8.19,8.33,8.44,8.6,8.74,8.59,8.66,8.7,8.51,8.75,9.12,9.35,9.24,9.33,9.31,9.15,9.26,9.34,9.46,9.35,9.37,9.44,9.53,9.626,9.776,9.69,9.73,9.78,9.72,9.82,9.98,10.11,10.21,10.29,10.44,10.53,10.57,10.62,10.56,10.72
7,10.22,10.06,9.87999999999999,9.48999999999999,9.64999999999999,9.64999999999999,9.68999999999999,9.71999999999999,9.66999999999999,9.61999999999999,9.84999999999999,9.69999999999999,9.58999999999999,9.71999999999999,9.90999999999999,9.79999999999999,9.66999999999999,9.70999999999999,9.76999999999999,9.58999999999999,9.89999999999999,10.3,10.59,10.62,10.64,10.65,10.47,10.6,10.7,10.79,10.74,10.79,10.81,10.92,10.96,11.12,11.07,11.09,11.16,11.18,11.1,11.28,11.22,11.33,11.43,11.59,11.62,11.64,11.71,11.73,11.91
8,11.99,11.81,11.52,11.08,11.27,11.27,11.36,11.41,11.38,11.35,11.61,11.48,11.4,11.55,11.75,11.67,11.75,11.84,11.9,11.81,12.05,12.52,12.75,12.6,12.65,12.67,12.38,12.47,12.56,12.73,12.81,12.88,12.92,13.05,13.03,13.22,13.19,13.28,13.32,13.25,13.09,13.28,13.17,13.3,13.39,13.58,13.52,13.61,13.65,13.58,13.77
9,13.45,13.26,12.91,12.51,12.66,12.66,12.77,12.84,12.78,12.72,12.97,12.85,12.97,13.14,13.3,13.42,13.54,13.65,13.73,13.65,13.96,14.47,14.76,14.67,14.71,14.76,14.41,14.46,14.63,14.79,14.91,14.89,14.99,15.13,15.19,15.34,15.28,15.34,15.43,15.54,15.3,15.51,15.46,15.61,15.78,15.93,15.78,15.84,15.93,16.04,16.25
10,14.57,14.41,14.11,13.78,13.91,13.91,14.04,14.15,14.1,14.05,14.34,14.18,14.27,14.36,14.49,14.58,14.71,14.84,14.95,14.82,15.2,15.79,16.1,15.93,16.05,16.12,15.82,15.84,15.93,16.14,16.19,16.36,16.41,16.56,16.71,16.84,16.79,16.84,16.95,16.96,16.67,16.9,16.84,17.01,17.29,17.42,17.23,17.28,17.39,17.4,17.63
11,16.33,16.18,15.92,15.76,15.88,15.88,16.03,16.17,16.15,16.13,16.44,16.32,16.49,16.59,16.69,16.86,17.02,17.16,17.29,17.22,17.64,18.13,18.45,18.49,18.41,18.5,18.24,18.3,18.44,18.66,18.83,18.97,19.06,19.23,19.42,19.54,19.52,19.59,19.72,19.79,19.48,19.73,19.64,19.62,19.54,19.66,19.45,19.52,19.65,19.72,19.97
12,16.39,16.26,16.06,16.01,16.11,16.11,16.28,16.22,16.25,16.28,16.6,16.51,16.7,16.87,16.96,17.15,17.34,17.45,17.6,17.59,17.98,18.49,18.75,18.87,18.74,18.85,18.65,18.76,18.82,19.01,19.1,19.12,19.23,19.42,19.64,19.74,19.77,19.87,19.93,20.02,20.04,20.3,20.27,20.24,20.3,20.4,20.66,20.76,20.82,20.91,21.17
13,18.57,18.45,18.3,18.29,18.38,18.38,18.4,18.28,18.37,18.46,18.82,18.74,18.96,19.12,19.18,19.4,19.61,19.67,19.84,19.81,20.21,20.73,21.01,20.87,20.81,20.89,20.74,20.77,20.89,21.04,20.9,20.8,20.88,21.02,21.26,21.35,21.44,21.48,21.63,21.75,21.76,22.0,22.05,22.09,22.21,22.3,22.59,22.63,22.78,22.9,23.14
14,20.78,20.68,20.56,20.65,20.71,20.71,20.78,20.69,20.81,20.93,21.25,21.31,21.55,21.74,21.79,22.03,22.29,22.44,22.63,22.7,23.24,23.69,24.05,23.99,24.06,24.2,24.08,24.16,24.25,24.42,24.36,24.21,24.28,24.34,24.62,24.68,24.8,24.86,25.03,25.11,24.93,25.21,25.3,25.39,25.48,25.54,25.29,25.35,25.52,25.6,25.88
15,21.9,21.81,21.73,21.92,21.97,21.97,22.02,21.87,22.03,22.19,22.54,22.7,22.96,23.16,23.19,23.45,23.68,23.75,23.96,23.83,24.42,24.86,25.25,25.1,25.19,25.25,25.17,25.24,25.41,25.64,25.74,25.55,25.67,25.77,26.06,26.11,26.27,26.36,26.55,26.69,26.57,26.86,26.98,27.03,27.2,27.25,27.02,27.11,27.3,27.44,27.73
16,23.53,23.47,23.41,23.68,23.65,23.65,23.75,23.79,23.94,24.09,24.48,24.66,24.93,25.14,25.16,25.43,25.61,25.57,25.79,25.61,26.21,26.6,27.01,27.1,27.02,27.14,27.08,27.17,27.38,27.65,27.57,27.36,27.44,27.52,27.83,27.92,28.07,28.19,28.29,28.35,28.08,28.33,28.56,28.63,28.97,29.06,28.85,28.97,29.07,29.13,29.38
